algorithm,label_column,rand_index,jaccard
kmeans,kmeans_label,0.49907578558225507,0.3299880044319503
agglomerative,agglomerative_label,0.4994591634148011,0.3236948236948237
birch,birch_label,0.4835489833641405,0.4380196072588575
gmm,gmm_label,0.49728212500855756,0.34801292751358454
gmm_bic_best,gmm_bic_best_label,0.513527760662696,0.160862531146302
gmm_aic_best,gmm_aic_best_label,0.5168480865338536,0.09828022385199192
dbscan,dbscan_label,0.5147058823529411,0.36538461538461536
dbscan_combined,dbscan_combined_label,0.48027172444291577,0.47525673463312995
dbscan_selected,dbscan_selected_label,0.4822327864689867,0.4773408519697261
best_overall,best_overall_label,0.5147058823529411,0.36538461538461536
