K,covariance_type,bic,aic
2,full,-13319.077282300897,-13984.557270522102
2,diag,5248.146174887647,5054.942307339556
2,tied,-10525.881398810732,-10907.995714628069
2,spherical,13804.207838251792,13696.87235628063
3,full,-13647.459501106361,-14647.826193077592
3,diag,3674.926605365955,3382.9740944043942
3,tied,-11021.775445761352,-11455.410792924846
3,spherical,12338.72659909361,12175.576666497444
4,full,-14219.124457335874,-15554.37785305713
4,diag,2336.0980217231863,1945.3968673481565
4,tied,-11635.658797923057,-12120.81517643271
4,spherical,11593.213537406014,11374.249154184843
5,full,-14367.702889775275,-16037.842989246557
5,diag,1871.3842928305771,1381.9344950420782
5,tied,-11793.685391576082,-12330.362801431893
5,spherical,10989.136040667856,10714.357206821682
6,full,-14453.675791324207,-16458.702594545513
6,diag,989.648264759904,401.44982355793604
6,tied,-12074.91409787142,-12663.112539073389
6,spherical,10625.11956202075,10294.526277549572
7,full,-14570.513175357546,-16910.426682328878
7,diag,198.76668897715945,-488.18039563827756
7,tied,-12184.12177863618,-12823.841251184305
7,spherical,10366.05977453512,9979.652039438937
8,full,-14531.779793348982,-17206.58000407034
8,diag,156.84490350404235,-628.8508245248636
8,tied,-12399.1285498593,-13090.369053753584
8,spherical,10196.373174002998,9754.15098828181
9,full,-14255.765204637628,-17265.45211910901
9,diag,-606.0440114521766,-1490.4883828945517
9,tied,-12349.366445808215,-13092.127981048656
9,spherical,10077.930022774357,9579.893386428164
10,full,-13881.094577492178,-17225.668195713588
10,diag,-693.8018970864402,-1676.9949119422845
10,tied,-12666.23812146623,-13460.520688052828
10,spherical,9940.35315161905,9386.502064647855
